SL.No.,CITY 1,CITY 2,"PASSENGERS
 TO CITY 2","PASSENGERS
 FROM CITY 2","FREIGHT
 TO CITY 2","FREIGHT
 FROM CITY 2"
1,ABUDHABI,AHMEDABAD,13040,12598,108.214,105.678
2,ABUDHABI,BENGALURU,37007,35619,771.578,991.907
3,ABUDHABI,CHENNAI,28166,32932,97.38,187.15
4,ABUDHABI,DELHI,95207,92126,451.45,1595.054
5,ABUDHABI,HYDERABAD,34814,36344,187.133,571.449
6,ABUDHABI,KOCHI,84415,74528,207.696,1098.759
7,ABUDHABI,KOLKATA,11592,11368,7.766,115.784
8,ABUDHABI,KOZHIKODE,57138,47233,28.572,382.995
9,ABUDHABI,MANGALORE,8375,7604,0.254,20.776
10,ABUDHABI,MUMBAI,92740,90621,1473.118,3253.7319
11,ABUDHABI,TRIVANDRUM,28824,25931,4.423,277.171
12,ABUDHABI,KANNUR,23365,19651,0,0
13,ADDIS ABABA,DELHI,21923,25815,0,367.331
14,ADDIS ABABA,MUMBAI,17652,16356,236.039,1176.551
15,ADEN,MUMBAI,2499,3076,0,9.231
16,AL AIN,KOCHI,166,110,0,0
17,AL AIN,KOZHIKODE,3819,3151,0,0
18,AL AIN,TRIVANDRUM,16,0,0,0
19,ALMATY,DELHI,1507,1999,5.983,39.905
20,ALMATY,GOA,0,237,0,0
21,AMSTERDAM,BENGALURU,1541,2729,75.69,70.1706
22,AMSTERDAM,DELHI,26948,28235,1159.189,1656.4615
23,AMSTERDAM,MUMBAI,12981,14843,685.1683,815.7791
24,ASHGABAT,DELHI,5329,5548,0,164.808
25,BAHRAIN,BENGALURU,11938,10227,1393.175,193.975
26,BAHRAIN,CHENNAI,21520,19221,33.274,355.072
27,BAHRAIN,DELHI,36544,35560,54.62,531.7988
28,BAHRAIN,HYDERABAD,17182,14757,4.45,212.315
29,BAHRAIN,KOCHI,20789,17969,34.668,209.332
30,BAHRAIN,KOZHIKODE,21179,18958,23.818,285.576
31,BAHRAIN,MANGALORE,2558,2990,0,36.065
32,BAHRAIN,MUMBAI,29180,29222,44.138,592.628
33,BAHRAIN,TRIVANDRUM,16738,14062,9.45,250.194
34,BAHRAIN,KANNUR,2533,3171,0,0
35,BANGKOK,AHMEDABAD,16297,14256,9.89831,91.87626
36,BANGKOK,BENGALURU,42484,42698,849.005,1300.736
37,BANGKOK,CHENNAI,35760,37750,885.069,1325.216
38,BANGKOK,DELHI,120174,133298,3300.52469,1339.38328
39,BANGKOK,HYDERABAD,22739,24610,940.597,818.369
40,BANGKOK,JAIPUR,2528,2153,0,0
41,BANGKOK,KOLKATA,77182,76965,840.68039,1128.760498
42,BANGKOK,LUCKNOW,5116,4331,0,0
43,BANGKOK,MUMBAI,84249,85475,3670.43092,2102.00579
44,BANGKOK,VARANASI,14443,11783,0,12.016
45,BASRA,DELHI,9612,9538,0,0
46,BIRMINGHAM,AMRITSAR,3486,4330,0.57,0
47,BIRMINGHAM,DELHI,4938,4922,46.1102,258.3621
48,CAIRO,MUMBAI,7848,6909,83.905,44.553
49,CHICAGO,DELHI,20486,25462,358.3753,572.6434
50,CHICAGO,HYDERABAD,1770,1842,0.083,0
51,CHITTAGONG,KOLKATA,20025,20835,0,21.444
52,COLOGNE,MUMBAI,0,0,0,1406.29
53,COLOMBO,BENGALURU,32294,28789,272.97,691.898
54,COLOMBO,CHENNAI,108965,104221,1756.38357,1838.72335
55,COLOMBO,COIMBATORE,5077,5016,2.23,129.964
56,COLOMBO,DELHI,35907,35278,667.0199,285.1182
57,COLOMBO,HYDERABAD,9217,6765,5.216,34.683
58,COLOMBO,KOCHI,18210,22782,254.019,314.936
59,COLOMBO,KOLKATA,6203,5183,2.415,82.603
